time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction
137216,350.58573355999994,379,163.12,361,67,660,0.045436785,0.0005381080435654439,0.2,0.9966739416122437,-0.13784819841384888,-2.7837458200752736,-0.08600347022584173,0.4839620590209961,0.0003,0.388525390625
139264,355.61094614999996,381,165.25,365,68,670,0.04866326,0.0006242664508135931,0.2,0.9968032836914062,-0.12536443769931793,-2.7491934694349767,-0.08409734286251477,0.47828102111816406,0.0003,0.39091796875
141312,363.3843617499999,382,168.59,369,69,680,0.052468024,0.0005417873428086751,0.2,0.9970316290855408,-0.11879970133304596,-2.695792578905821,-0.08960309784743004,0.47178053855895996,0.0003,0.428369140625
143360,368.82570689,384,171.13,372,70,690,0.052804224,0.0006509507440568996,0.2,0.9961459636688232,-0.13605868816375732,-2.6580569788813593,-0.08826099809375591,0.468558669090271,0.0003,0.4255859375
145408,376.1291123599999,386,174.4,376,71,700,0.055521525,0.0006093057386351575,0.2,0.9965755939483643,-0.1276603490114212,-2.623631674796343,-0.08919706809829223,0.46337389945983887,0.0003,0.424560546875
147456,382.12834343000003,387,176.98,380,72,710,0.053521615,0.0006695554317957431,0.2,0.9961791038513184,-0.10986542701721191,-2.5809178188443185,-0.08698066522774753,0.4587516188621521,0.0003,0.419189453125
149504,390.6658771,389,180.67,383,73,720,0.058345534,0.0004934110120757395,0.2,0.9972754716873169,-0.15022768080234528,-2.5241935014724732,-0.08828402696526609,0.45128726959228516,0.0003,0.434765625
151552,400.3673667599999,390,184.98,387,74,730,0.05774875,0.0004753552940201189,0.2,0.9974074959754944,-0.1355425864458084,-2.4609310813248158,-0.08453026471543126,0.4443502128124237,0.0003,0.413037109375
153600,408.7541117600001,392,188.83,391,75,740,0.059420675,0.0005489883556947462,0.2,0.9972078800201416,-0.11353621631860733,-2.4133928798139097,-0.08719021037977655,0.44000664353370667,0.0003,0.42705078125
155648,417.39133904999994,394,192.65,394,76,750,0.057666995,0.0005375904182074009,0.2,0.9974789023399353,-0.12877881526947021,-2.378090349584818,-0.08685082556039561,0.4366767108440399,0.0003,0.427587890625
157696,427.26920509999997,395,197.12,398,77,760,0.06331972,0.0005361935171094955,0.2,0.997433602809906,-0.11414872109889984,-2.3323764733970167,-0.09064472202735488,0.43119490146636963,0.0003,0.442333984375
159744,436.24663248999997,397,201.13,402,78,770,0.060922775,0.000551488070141204,0.2,0.9969055652618408,-0.13654838502407074,-2.307966685295105,-0.08610657732060645,0.4296114444732666,0.0003,0.433251953125
161792,444.87041108,398,204.94,405,79,780,0.05920916,0.0005651429391946294,0.2,0.997334361076355,-0.15103711187839508,-2.2835924319922922,-0.08694198127632262,0.4256244897842407,0.0003,0.439404296875
163840,455.5362674,400,209.37,409,80,790,0.0662765,0.0006067534702197009,0.2,0.9970889091491699,-0.14009033143520355,-2.25060503333807,-0.08923603625153191,0.4237764775753021,0.0003,0.44921875
165888,465.65685529999996,401,213.55,413,81,800,0.06101348,0.0006456719512243581,0.2,0.9963005781173706,-0.1358674019575119,-2.2158685751259326,-0.09087489578814711,0.41930416226387024,0.0003,0.45556640625
167936,475.77316888,402,217.86,416,82,810,0.06893639,0.0007578513955195376,0.2,0.9956611394882202,-0.12123505771160126,-2.173642348498106,-0.09020900322502712,0.41355276107788086,0.0003,0.44931640625
169984,486.58186204000003,404,222.47,420,83,820,0.06716017,0.0005615042817225912,0.2,0.9970607757568359,-0.13844536244869232,-2.1282902747392654,-0.0899250452304841,0.4101293683052063,0.0003,0.456005859375
172032,495.61690324000006,405,226.08,424,84,830,0.07410419,0.0005602100782198249,0.2,0.9967553019523621,-0.13617590069770813,-2.0741310492157936,-0.09349804695812054,0.4036062955856323,0.0003,0.474560546875
174080,501.77345384000006,406,228.36,427,85,840,0.0741665,0.0005112812870720518,0.2,0.9963160753250122,-0.12937070429325104,-2.0069824285805224,-0.09276678954483941,0.3966081440448761,0.0003,0.467822265625
176128,511.0716135100001,408,231.92,431,86,850,0.071515575,0.0005750361440732376,0.2,0.9964577555656433,-0.09373176097869873,-1.951955422759056,-0.08787943376155453,0.3927077651023865,0.0003,0.46630859375
178176,518.25615782,409,234.37,435,87,860,0.074752115,0.0005536220553040039,0.2,0.9955388903617859,-0.1335482895374298,-1.9084166381508112,-0.08990908137930091,0.38718777894973755,0.0003,0.46396484375
180224,525.08526162,410,236.62,438,88,870,0.07435925,0.0005250062794402765,0.2,0.9950397610664368,-0.12024808675050735,-1.8542072840034962,-0.08953724060265814,0.3830898702144623,0.0003,0.4728515625
182272,532.0312851599999,411,238.85,442,89,880,0.07707656,0.0005434603642697766,0.2,0.9953638315200806,-0.1153559461236,-1.8061488077044487,-0.09039846686355305,0.37738510966300964,0.0003,0.47890625
184320,536.69394045,413,240.13,446,90,890,0.0793512,0.0006168388124933699,0.2,0.9926172494888306,-0.12601467967033386,-1.7314736213535071,-0.08750828736519907,0.37001246213912964,0.0003,0.47255859375
186368,540.5444905899999,414,241.0,449,91,900,0.0782501,0.0005651278697769158,0.2,0.9945769309997559,-0.12579844892024994,-1.6740494713187217,-0.09079200641426724,0.3653090000152588,0.0003,0.48759765625
188416,543.02858702,415,241.5,453,92,910,0.08101078,0.0005419715074822306,0.2,0.9923155903816223,-0.13289786875247955,-1.610552142933011,-0.09030649900087155,0.3587493598461151,0.0003,0.49375
190464,545.68331322,416,241.96,456,93,920,0.084145956,0.0003894224867508456,0.2,0.9923914670944214,-0.11576627194881439,-1.5504011899232863,-0.08786796873027924,0.3542982041835785,0.0003,0.486767578125
192512,547.29715176,417,241.96,460,94,930,0.08564633,0.00035173159139958445,0.2,0.9934109449386597,-0.11827494204044342,-1.4896225444972515,-0.08901202455017483,0.3485678732395172,0.0003,0.486962890625
194560,548.6934704500001,419,241.96,464,95,940,0.08828908,0.0002632903194808023,0.2,0.991753339767456,-0.12720894813537598,-1.4257050585001707,-0.0909522458066931,0.3435448706150055,0.0003,0.494970703125
196608,549.8553321,420,241.96,467,96,950,0.09384568,0.0002718587574236153,0.2,0.9930390119552612,-0.12277308851480484,-1.3819887787103653,-0.08788706175400876,0.3406306207180023,0.0003,0.492138671875
198656,551.22183032,421,241.96,471,97,960,0.098773785,0.0003142450404084229,0.2,0.9916367530822754,-0.12439309805631638,-1.34445672146976,-0.088854130373511,0.3368360102176666,0.0003,0.50185546875
200704,552.5148236099999,422,241.96,475,98,970,0.104295686,0.00023086812111614564,0.2,0.9924452304840088,-0.12127985060214996,-1.279287140071392,-0.08598258425772656,0.3306230902671814,0.0003,0.507568359375
202752,553.2656917300001,423,241.96,478,99,980,0.09335128,0.00020997924168568715,0.2,0.9925404191017151,-0.13148950040340424,-1.2206964299082756,-0.08906944465998094,0.3264119029045105,0.0003,0.501171875
204800,553.64766998,424,241.96,482,100,990,0.09476183,0.00027545463972273866,0.2,0.9897369146347046,-0.13267043232917786,-1.1698053017258645,-0.0878822647529887,0.32261520624160767,0.0003,0.517578125
206848,554.53958209,425,241.96,485,101,1000,0.091832735,0.0002299491662370201,0.2,0.9883819818496704,-0.1389969438314438,-1.1226241067051888,-0.08456586035899818,0.3179187774658203,0.0003,0.51171875
208896,555.6368419300001,426,242.0,489,102,1010,0.112732254,0.0002001991938413994,0.2,0.9916433691978455,-0.12903885543346405,-1.057141862809658,-0.09426513137295842,0.3130680024623871,0.0003,0.542333984375
210944,556.20437231,427,242.0,492,103,1020,0.10066873,0.00023182181066658814,0.2,0.9885001182556152,-0.1321788728237152,-0.9971182450652123,-0.08454053052701056,0.3079531192779541,0.0003,0.518017578125
212992,557.1453043299999,428,242.0,496,104,1030,0.11621757,0.0002586547185501331,0.2,0.9853429198265076,-0.11997394263744354,-0.9244242455810309,-0.08713680651562754,0.3021801710128784,0.0003,0.532568359375
215040,558.05919403,429,242.0,500,105,1040,0.10891606,0.0002251824455015594,0.2,0.9901212453842163,-0.12218420207500458,-0.8580055009573698,-0.08499360518471803,0.29724717140197754,0.0003,0.524365234375
217088,558.99681859,430,242.0,503,106,1050,0.10719545,0.00022598457790081738,0.2,0.9901738166809082,-0.1185794472694397,-0.8024759408086538,-0.08254490609979256,0.2948453426361084,0.0003,0.51416015625
219136,559.8624462,431,242.0,507,107,1060,0.11104995,0.00020251268101674215,0.2,0.987799882888794,-0.11509129405021667,-0.7600574295967817,-0.08346683554264019,0.2908637225627899,0.0003,0.520556640625
221184,560.8741373400001,432,242.0,510,108,1070,0.11262624,0.00019506226619796506,0.2,0.9900917410850525,-0.14363054931163788,-0.7046114470809698,-0.08193145345139782,0.28746598958969116,0.0003,0.529833984375
223232,561.60511244,433,242.0,514,109,1080,0.11522028,0.00019650545793865605,0.2,0.9878764748573303,-0.10281158238649368,-0.6696041774004697,-0.08369824682740727,0.28504300117492676,0.0003,0.53876953125
225280,562.45632079,434,242.0,518,110,1090,0.12169952,0.0001264315372281999,0.2,0.9920018315315247,-0.11880731582641602,-0.619124555028975,-0.08091446051839739,0.2813276946544647,0.0003,0.543359375
227328,563.3781759199999,435,242.0,522,111,1100,0.12757868,0.00015825669902369555,0.2,0.9896228313446045,-0.12619096040725708,-0.5813951969146729,-0.08233786395285278,0.2791813015937805,0.0003,0.53935546875
229376,564.06676902,436,242.0,526,112,1110,0.124378376,0.00013649136753883794,0.2,0.991940975189209,-0.10701532661914825,-0.5320561148226262,-0.08209141876141075,0.27489984035491943,0.0003,0.546240234375
231424,564.7790367199999,436,242.0,529,113,1120,0.12043187,0.00016413499974987644,0.2,0.9902558326721191,-0.11358201503753662,-0.46020408216863873,-0.08205278194072889,0.2698209285736084,0.0003,0.548388671875
