#{"t_start": 1763679237.74574, "env_id": "hover-aviary-v0"}
r,l,t
16.561611,10,52.987625
25.92693,16,53.080561
38.123721,24,53.169888
13.102816,8,53.226889
31.519851,20,53.292606
14.64164,9,53.734298
11.417071,7,54.226914
30.665417,19,54.506138
16.44912,10,54.649737
21.204989,13,54.861764
9.807867,6,54.911138
27.200146,17,54.9692
16.434377,10,55.022192
13.350032,8,55.096882
24.162958,15,55.202764
22.135338,14,55.27281
34.333316,23,55.532549
25.76056,16,55.647009
12.93984,8,55.72927
13.355943,8,55.809361
14.559172,9,55.939707
25.744555,16,56.497992
14.704256,9,56.609479
11.492849,7,56.778165
13.035804,8,56.886981
31.775399,20,57.46905
29.497787,18,57.622779
34.09168,21,57.724034
13.016759,8,57.785206
11.538201,7,57.834397
39.203631,25,57.9029
25.103773,16,57.959406
16.301604,10,58.011136
13.151021,8,58.059283
14.815667,9,58.109167
37.362722,52,58.226094
11.499088,7,58.31109
18.080795,11,58.36794
39.869936,39,58.450274
13.259164,8,58.500272
43.191625,29,58.570274
16.5076,10,58.625363
51.803564,38,58.705291
16.35958,10,58.757291
16.282449,10,58.807361
20.895778,13,58.862361
14.883509,9,58.911287
26.340258,16,58.968552
19.458753,12,59.021074
37.652036,23,59.086146
16.522656,10,59.136075
13.055771,8,59.185146
17.853699,11,59.250839
16.190062,10,59.308937
36.987499,35,60.564157
32.473159,20,60.636865
30.889941,20,60.698618
29.350957,18,60.757271
13.090601,8,60.806646
13.028123,8,60.854918
23.129003,14,60.910258
30.326828,20,60.972478
11.476902,7,61.01944
34.484069,35,61.099517
19.851041,12,61.151512
35.349119,39,61.234439
48.510673,33,61.308438
16.599767,10,61.361453
33.56886,24,61.428461
16.552449,10,61.479452
14.605432,9,61.529449
27.570333,17,61.59058
24.250347,15,61.646004
13.056272,8,61.696162
96.490027,145,61.89507
55.339169,65,62.008065
23.135267,14,62.062622
14.808717,9,62.112705
21.267118,13,62.166702
20.506509,13,62.220775
38.599086,55,62.330773
21.094221,13,62.385154
20.091738,12,62.438222
16.385714,10,62.49015
29.205091,18,62.549153
26.079872,16,62.60515
19.611069,12,62.659148
16.574374,10,62.710145
24.62242,15,62.765269
66.464329,56,62.86587
40.242415,40,62.948942
15.094866,9,62.99894
11.558869,7,63.045939
16.344462,10,63.096866
46.664341,40,63.179866
27.393937,17,63.237943
36.16956,27,63.3513
48.758957,35,63.433267
33.027872,48,63.621702
40.471504,25,63.721469
39.784738,24,63.796752
40.059815,25,63.877007
17.676916,11,63.949071
29.26903,19,64.010861
50.370292,50,64.108241
27.523713,17,64.166731
22.955093,14,64.221749
18.12186,11,64.272826
26.303521,16,64.330822
19.10501,12,64.390752
29.563465,18,64.477313
33.471844,20,64.541765
14.664058,9,64.591763
40.920368,25,64.659969
13.202912,8,64.708969
14.780383,9,64.757977
29.830177,19,64.821549
45.342096,44,64.908516
13.119798,8,64.957513
11.572551,7,65.005515
24.208316,15,65.064578
13.17689,8,65.113507
13.206065,8,65.162509
16.672823,10,65.213508
37.384193,98,65.359509
14.909303,9,65.432086
19.472377,12,65.51702
17.695267,11,65.576748
32.073826,43,65.663453
11.662103,7,65.711089
29.815088,19,65.771342
33.085352,20,65.832039
13.211265,8,65.881036
22.82203,14,65.935038
28.882196,17,65.993114
11.471581,7,66.040035
13.124789,8,66.089035
14.849796,9,66.138251
42.251845,48,66.231174
30.858992,20,66.292003
66.802584,59,66.411165
21.467409,13,66.467944
64.713086,43,66.552867
16.297664,10,66.606886
24.420511,15,66.663888
37.444599,22,66.726886
38.531274,25,66.794885
29.392509,29,68.117584
16.325357,10,68.174635
26.80659,17,68.242634
25.668036,16,68.309636
35.246004,31,68.391268
19.69131,12,68.461257
35.443674,22,68.528316
27.997404,17,68.587763
32.716214,20,68.653549
19.92941,12,68.712934
29.141494,18,68.791223
13.072676,8,68.846706
13.068039,8,68.898716
57.305423,43,68.989793
45.796165,59,69.10379
32.442201,20,69.171804
53.679761,158,69.444568
17.938646,11,69.500498
24.430841,15,69.556977
50.163631,40,69.63998
19.79434,12,69.691979
17.808847,11,69.743977
25.445313,16,69.800203
39.435414,27,69.86985
14.775867,9,69.920774
16.174238,10,69.971868
18.290954,11,70.029796
13.113984,8,70.084347
32.895725,23,70.153341
16.539754,10,70.2043
20.075376,12,70.256343
35.537983,41,70.34227
18.140864,11,70.3941
19.680535,12,70.451908
23.95481,15,70.507908
52.564351,66,70.628953
35.377843,36,70.726779
58.763003,40,70.814389
19.441997,12,70.872419
30.843733,29,70.949818
28.19041,17,71.012751
35.870041,32,71.092744
14.962118,9,71.144815
40.777511,43,71.271065
42.347525,75,71.409199
19.837776,12,71.48112
19.170448,12,71.571301
34.79262,23,71.674389
13.273882,8,71.742211
34.039512,21,71.946199
26.853319,17,72.099551
14.734064,9,72.190431
14.992288,9,72.52149
26.184888,17,72.604611
24.707484,15,72.67303
36.345521,22,72.742671
16.320709,10,72.790122
37.357512,25,72.853195
24.41382,15,72.903287
38.451992,26,72.966774
32.370703,19,73.024501
26.349791,16,73.079451
38.959158,27,73.165453
19.001549,12,73.325819
22.7884,14,73.392996
21.167041,13,73.450677
47.395879,44,73.554904
45.633222,29,73.668686
16.495951,10,73.731172
21.743682,13,73.793206
13.030688,8,73.847967
16.6365,10,73.907444
25.566358,16,73.97521
23.02204,14,74.038407
28.051573,17,74.112437
44.005459,26,74.272876
16.729651,10,74.389503
11.589534,7,74.917011
42.854555,47,75.137
37.307229,46,75.276683
14.712509,9,75.343255
20.031738,12,75.401411
16.434949,10,75.452495
25.192683,15,75.510492
41.194008,26,75.578492
40.307509,57,75.718434
19.616856,12,75.776563
33.221296,21,75.852029
11.516556,7,75.900958
42.456949,28,75.975732
36.306062,24,76.042692
14.646583,9,76.093863
41.951508,25,76.163194
16.779583,10,76.213403
38.229861,45,77.645437
37.026203,28,77.728684
37.186477,33,77.818595
38.76003,24,77.8981
29.474001,19,77.958216
31.476581,37,78.037131
32.673544,20,78.098158
34.390453,21,78.159422
17.940381,11,78.213498
9.857704,6,78.263494
35.898195,25,78.363038
40.740951,40,78.446513
16.410338,10,78.507522
50.516077,32,78.675399
50.040134,50,78.808121
23.144212,15,78.880344
30.266458,18,78.956868
31.515953,19,79.040684
27.66734,17,79.100811
13.201741,8,79.154389
19.421679,12,79.207664
42.194341,27,79.276765
17.958618,11,79.338765
34.280168,24,79.436518
29.308905,18,79.512436
37.050886,37,79.591811
50.670258,44,79.67835
17.892457,11,79.730437
13.201927,8,79.77863
33.425915,21,79.841037
13.036027,8,79.890702
23.004996,14,79.945631
18.089951,11,80.008628
13.204275,8,80.057702
31.78925,20,80.118706
8.269361,5,80.163631
22.946193,14,80.218914
14.846523,9,80.268817
53.38037,52,80.363814
27.404714,17,80.461907
14.719462,9,80.523341
15.963771,10,80.583445
21.488959,14,80.638546
21.694238,13,80.692839
35.775553,33,80.768839
16.546666,10,80.819836
29.260492,18,80.878914
16.314453,10,80.929835
14.614473,9,80.978835
19.588843,12,81.03166
39.835777,25,81.097836
14.799862,9,81.147835
11.48624,7,81.19492
22.345264,14,81.249832
40.654263,29,81.321751
26.361167,16,81.385303
42.010044,102,81.547564
35.11851,22,81.611716
19.735263,12,81.669643
18.505604,11,81.723173
17.982294,11,81.774173
14.613384,9,81.824252
43.776016,30,81.896407
19.795531,12,81.949403
36.776691,26,82.017329
49.399866,51,82.112513
16.445792,10,82.162513
19.588227,12,82.216512
28.77689,19,82.280375
34.888325,54,82.385661
26.458608,16,82.45216
11.532575,7,82.500158
81.901621,50,82.59316
24.724497,15,82.649261
14.886975,9,82.699274
64.459219,76,82.820355
14.942353,9,82.870429
13.152025,8,82.919354
36.131224,52,83.015279
37.987315,27,83.083357
17.743286,11,83.134664
37.646646,44,83.224799
27.685911,17,83.284434
43.840892,30,83.45284
49.32397,30,83.603573
46.235035,38,83.685081
13.133562,8,83.735018
36.506389,46,83.825032
24.272162,15,83.88202
44.669008,28,83.951955
16.204902,10,84.015894
22.223502,14,84.090035
30.872842,19,84.166036
26.420718,17,85.45727
25.01469,15,85.52527
37.263498,48,85.637676
28.249,17,85.695679
59.841282,49,85.785884
33.54766,23,85.850339
34.527022,21,85.914336
68.129321,94,86.055331
32.453758,33,86.13154
39.536165,56,86.233127
34.44353,33,86.310712
36.995824,22,86.373455
19.852216,12,86.42755
40.59865,47,86.516547
24.525252,15,86.572539
26.365926,16,86.62998
14.847398,9,86.67998
32.089815,31,86.754007
35.772531,22,86.817008
28.249081,17,86.876036
38.594555,30,86.949078
25.599349,16,87.006351
21.254959,13,87.061421
39.236187,25,87.145264
36.69837,44,87.250651
19.609633,12,87.305652
14.505745,9,87.362648
45.584654,50,87.476093
13.156712,8,87.544322
28.69094,17,87.61999
14.856238,9,87.694967
16.170849,10,87.759732
22.666562,14,87.818201
11.552462,7,87.872142
19.463821,12,87.926562
22.348273,14,87.989861
26.65096,16,88.046848
17.830405,11,88.099088
44.987523,59,88.202169
16.714197,10,88.25316
14.763043,9,88.599763
42.325719,29,88.839905
35.117531,45,89.051538
51.986142,41,89.195556
16.180718,10,89.271511
49.474208,60,89.422559
24.690405,15,89.482283
42.312314,29,89.558375
42.208092,52,89.655372
62.212875,39,89.735451
34.05433,22,89.798562
31.03594,19,89.859487
33.455005,20,89.924489
18.159661,11,89.978489
32.248657,20,90.039489
14.858048,9,90.089563
27.716221,18,90.148489
33.283156,21,90.211558
19.590121,12,90.264488
30.820319,20,90.327485
13.198402,8,90.383959
14.699056,9,90.461303
23.959112,15,90.525185
31.13852,39,90.608287
45.227008,52,90.710386
55.042629,54,90.806861
32.645726,39,90.889667
13.214717,8,90.938593
54.925918,53,91.039572
38.186134,45,91.128047
13.073831,8,91.177099
33.46735,20,91.23822
29.077359,18,91.298941
40.19944,40,91.39258
37.568155,40,91.535816
49.543255,35,91.618276
49.92999,35,91.695278
44.008506,27,91.764575
24.26111,15,91.821206
47.337655,61,93.18348
41.110338,54,93.300267
42.495943,43,93.392499
33.872211,23,93.458489
44.103762,32,93.531673
44.300471,27,93.600056
62.589644,56,93.700518
39.193403,24,93.766424
38.903097,23,93.831051
41.407313,25,93.898595
29.092504,18,93.958737
13.144187,8,94.006923
35.685776,22,94.071917
43.996607,43,94.158373
22.311176,14,94.213833
60.282489,85,94.345829
16.151723,10,94.396309
24.625051,15,94.452185
17.725417,11,94.505257
16.565369,10,94.556181
37.550479,28,94.625853
22.714807,14,94.681389
38.237998,49,94.775316
36.810486,56,94.875315
66.273762,43,94.963314
39.080259,29,95.034384
48.580174,30,95.105697
59.332518,39,95.187344
17.995081,11,95.239352
43.625847,31,95.312341
42.555346,27,95.381443
60.240637,44,95.469378
26.122606,16,95.526377
44.989768,31,95.59856
23.859392,15,95.657611
33.081397,43,95.743609
14.621292,9,95.793612
35.501945,23,95.857608
53.633429,53,95.955536
77.567849,83,96.083538
24.710054,15,96.140608
21.638486,13,96.193607
40.729456,28,96.262982
29.626876,18,96.322979
39.324002,29,96.393981
35.593663,27,96.463936
47.961142,28,96.533011
14.894686,9,96.584008
